text,label
Tôi cảm thấy khá háo hức để hoàn thành nó vì tôi có một kế hoạch thú vị để chần bông nó,1
Tôi cảm thấy bị kích thích nên tôi yêu cầu cô ấy về nhà,2
"Tôi nghĩ nếu một bài thơ không gây áp lực cho tôi, tôi không cảm thấy khó chịu theo nghĩa cảm giác nhiều hơn tôi có thể cảm thấy, hiểu nhiều hơn tôi có thể hiểu, yêu nhiều hơn tôi có thể yêu;",4
Tôi cũng cảm thấy như thể tôi là một người xa lạ ở một vùng đất xa lạ và tôi đang nuôi dạy con trai tôi ở một nơi không phải là nhà tổ tiên của cha nó,5
"Tôi đi vào phòng tắm, tự hỏi tôi cảm thấy cô ấy thật lộng lẫy, một cơ thể tuyệt vời như vậy, rất tự tin trong chuyển động của mình, một cách dễ dàng, duyên dáng;",1
"Tôi cảm thấy tràn đầy năng lượng và bồng bềnh, tôi rất vui khi đến phòng tập thể dục, chạy xung quanh bên ngoài với con tôi hoặc đi xe đẩy để đi bộ dài, thường tôi làm cả ba trong một ngày",1
Tôi vẫn cảm thấy mạnh mẽ,1
Tôi đã không bật khóc hay một số cảm xúc hay suy nghĩ tàn khốc khác bởi vì tôi dường như biết rằng Rich cũng phải đi qua không gian riêng của anh ấy mà không cần tôi đổ cho anh ấy,1
"Tôi muốn có một ly cà phê gia vị bí ngô sáng nay nhưng trời nóng và điều cuối cùng tôi muốn là một ly cà phê nóng, có lẽ tôi đang cảm thấy hơi đắng",3
"Tôi cho rằng anh ấy cảm thấy tồi tệ vì anh ấy hơi hoài nghi về nỗi đau của cô ấy trong vài tháng qua, cô ấy có thói quen cường điệu và cường điệu trong quá khứ, mặc dù anh ấy chưa bao giờ công khai hỏi cô ấy về điều đó",4
Tôi nắm chặt khóe giường để yên tâm,1
Tôi cũng cảm thấy như mình đang ích kỷ khi không biết ơn cuộc sống mà tôi có và những điều tuyệt vời trong đó,3
Tôi gọi nó là Chúa bởi vì tôi đã nhìn thấy Chúa trong một cuốn sách và nhận ra Chúa là tên đúng cho cảm giác hoàn toàn được khẳng định và chấp nhận mà không có câu hỏi,2
Tôi không biết tại sao có lẽ vì những cô gái khác trong văn phòng có mái tóc ngắn đẹp hoặc có lẽ tôi chỉ cảm thấy nổi loạn,3
Tôi không cảm thấy đau khổ chút nào vì gia đình tôi không phải là kiểu người tổ chức lễ Eid,0
"Tôi có thể đi rửa xe nếu tôi cảm thấy thực sự hào phóng, xe của tôi cần nó",1
"Tôi vẫn cảm thấy thiếu ngủ, cô ấy gần như ngủ suốt đêm cho chúng tôi",0
Tôi chỉ cảm thấy thực sự bạo lực ngay bây giờ,3
"Tôi đang viết blog một lần nữa, tôi đang ngồi đây cảm thấy hài lòng với những amp mèo của tôi, v.v. và tôi biết rằng chúng tôi may mắn như thế nào, sự thật là chúng tôi",1
Tôi bắt đầu cảm thấy buồn cười và sau đó thứ sáu tôi thức dậy bị ốm như một,5
Tôi cảm thấy cần phải bảo vệ cha mẹ tôi chống lại cuộc săn phù thủy mà liệu pháp trí nhớ bị kìm nén có thể là,0
Tôi cảm thấy ghê tởm khi thậm chí được liên kết với người phụ nữ này bởi chủng tộc và quốc tịch của tôi,3
Tôi cười cay đắng rồi lại cười cay đắng nhưng tôi không cảm thấy cay đắng,3
"Tôi không thể biết anh ấy đang cảm thấy gì, sau đó tôi nghĩ rằng anh ấy ước gì anh ấy cũng có thể ở đó với chúng tôi, vì mỗi chúng tôi đều biết rằng dù ban đầu chúng tôi ghét nó đến đâu, đó là một trải nghiệm mà chúng tôi sẽ nhớ mãi",0
"Tôi cảm thấy khá êm dịu và tôi muốn có một cái nhìn mềm mại, dễ mặc khi bắt đầu cảm lạnh",1
Tôi nói với anh ấy rằng có lẽ tôi chỉ cần thời gian để nghĩ xem gần đây tôi cảm thấy thiếu quyết đoán về mọi thứ như thế nào,4
Tôi vẫn cảm thấy nó gây bất lợi cho thể loại này khi những câu chuyện được giải quyết một cách giả tạo,1
"Tôi luôn luôn biết khi tôi cảm thấy nghệ thuật, khi tôi viết tên của tôi trong khi tôi đang ở trong một tâm trạng nghệ thuật, tôi trong manitz tôi vẽ một vòng tròn không phải một dấu chấm, dấu chấm càng lớn tôi càng cảm thấy nghệ thuật hơn và nếu nó chỉ là một dòng như một dấu nhấn trong tiếng Tây Ban Nha im bực mình",1
Tôi nhớ cảm giác thực sự sợ hãi khi tôi ở Brazil trên một chiếc xe buýt đang đi lên những ngọn đồi núi dốc đứng bên sườn núi giữa một cơn bão lớn tự hỏi liệu chúng tôi có bị ngã không,4
Tôi có thể cảm thấy tiếng thút thít của cô ấy khi nghĩ đến việc không được yêu thương và không được chăm sóc,0
"Tôi chắc chắn sẽ không ngồi và nói với bạn những gì đang xảy ra trong cuộc sống cá nhân của tôi nhưng tôi cảm thấy rằng nếu bạn tò mò về những gì đang xảy ra trong cuộc sống của tôi, tất cả những gì bạn phải làm là xem chương trình",5
im xin lỗi rằng không có nhiều hài hước hơn trong bài đăng này nhưng tôi không cảm thấy tất cả những gì buồn cười,5
Tôi cảm thấy mình đã bước chân vào cánh cửa của thế giới tuyệt vời của việc đi bộ và chạy những con đường mòn và núi,1
"Tôi nói bất cứ điều gì xuất hiện trong tâm trí tôi, hãy nói trực tiếp với bạn những gì tôi cảm thấy một cô gái ghen tuông, không phải vì tôi không an toàn, mà vì tôi chỉ yêu người đó, một người bạn đáng tin cậy, xứng đáng, ngọt ngào với người tôi yêu;",3
Tôi cảm thấy lạ khi trở lại làm việc sau kỳ nghỉ một ngày,4
"Tôi rõ ràng bị ảnh hưởng bởi hạnh phúc dash của Emily Dickinson chẳng hạn, và tôi sử dụng dấu gạch ngang thay vì dấu hai chấm hoặc dấu chấm phẩy để tăng cường cảm giác vội vã trong sonnet",3
Tôi béo hơn bởi vì điều duy nhất trong cuộc sống của tôi có thể nằm trong tầm kiểm soát của tôi là liệu tôi có được ăn bơ đậu phộng trên bánh mì khi tôi trở về nhà sau một ngày không thể đến thế giới thứ nhất nhìn thế giới thứ ba nhưng cảm thấy địa ngục của những cô gái nhỏ thiếu thốn và bị bỏ rơi hay không,0
Tôi có thể yêu cầu chuộc lại thể loại này nhưng nó cũng không khiến tôi cảm thấy hoàn toàn thất vọng đến mức đập đầu vào tường,3
Tôi cảm thấy rất buồn và tuyệt vọng,0
Tôi có cảm giác rằng các lớp học của tôi hơi bị đe dọa bởi khái niệm thắp sáng,4
Tôi vẫn cảm thấy uể oải nhưng tôi phải đứng dậy để làm thói quen cho con trai tôi,0
Tôi có cảm giác quan điểm của tôi sẽ không được phổ biến lắm và điều đó tốt,1
Tôi muốn giữ cảm giác kinh ngạc và tự hỏi này mãi mãi,5
"Khi tôi nghe tin đồn rằng kết quả kỳ thi năm thứ nhất đã được công bố, tôi đã sợ rằng tôi có thể là một trong những người thất bại",4
"Tôi muốn cảm thấy có giá trị, tôi làm và đánh giá cao, tôi làm và biết những người yêu tôi sẽ không đi đâu cả, ngay cả khi bản chất của mối quan hệ thay đổi",1
Tôi biết có những ngày mà bạn cảm thấy bị phân tâm,3
Tôi sử dụng nó thường xuyên với âm nhạc thư giãn và luôn cảm thấy được tiếp thêm sinh lực sau đó,1
"Tôi cảm thấy mất tập trung, tôi có xu hướng luyện tập với đôi mắt nhắm lại càng nhiều càng tốt",3
Tôi cảm thấy như nó hoàn hảo khi thấy YouTube có những ảnh hưởng mà tôi thậm chí còn biết xu hướng,1
Tôi đặc biệt muốn tango cảm thấy ngại ngùng và maks hoàn toàn ngược lại khó có thể đi đủ xa khỏi anh ấy để có được những bức ảnh đẹp lol,4
Tôi cũng không cảm thấy rất kỳ lạ khi ngủ trên giường trong khi hai người họ ngủ trên giường của cô ấy,4
"Tôi chỉ ước được rồi, vì vậy tôi đã suy nghĩ về nó sớm hơn hôm nay và ở đây điều này là tất cả bị nhốt lên amp bồn chồn đã khiến tôi cảm thấy rất thiếu thốn",0
Tôi đã giảm cân để có thể mặc vừa một chiếc váy nhỏ mà tôi không thể mặc vì tôi không cảm thấy tự tin vào nó cho đến bây giờ,1
Tôi hy vọng sẽ sớm cảm thấy sáng tạo hơn một chút và bỏ lỡ sự hiện diện của nó trong blog cuộc sống của tôi,1
"Tôi không phải là fan hâm mộ của tổng thống hiện tại, tôi là một người bảo thủ và điều đó khiến tôi cảm thấy không được chào đón;",0
Tôi sẽ đính kèm những câu thơ của cô ấy về cô ấy không thể cân nhắc nhiều hơn suy nghĩ và cảm thấy tò mò khi nghe cặp đôi kỳ quặc,5
Tôi bắt đầu cảm thấy tự mãn với cuộc sống của mình ở đây,1
Tôi cảm thấy dễ bị tổn thương và cô đơn,4
Tôi nhớ đã cảm thấy được truyền cảm hứng và nghĩ rằng đó là một ví dụ điển hình về cách nuôi dạy con cái,1
Tôi cảm thấy như tôi luôn là người bị trừng phạt vì những điều ngu ngốc và tôi cảm thấy như mình đang bị trừng phạt vì hành vi,0
"Tôi thực sự cảm thấy rằng cuộc sống của tôi là hoàn hảo ngay bây giờ và nếu nó không quá nhiều để yêu cầu, tôi chỉ hy vọng rằng mọi thứ sẽ giữ nguyên",1
im ở đó tôi chỉ đơn giản là cảm thấy hài lòng,1
Tôi không nói cắt tất cả mọi người ra khỏi cuộc sống của bạn nhưng tôi cảm thấy điều quan trọng là tìm thấy sự thoải mái trong thiền định cô đơn hoặc làm việc trên các dự án một mình,1
Tôi nghĩ rằng tôi chỉ là ngu ngốc cảm thấy lo lắng,4
Tôi cảm thấy vinh dự vì điều đó,1
Tôi đã cảm thấy một hành động của Chúa đang hoạt động trong cuộc sống của tôi và đó là một cảm giác tuyệt vời,5
Tôi cảm thấy im như một con chim bay trong không khí một cách rất vô tư,1
Tôi phải sửa đi xem lại câu trả lời của mình nhiều lần trong tâm trí chỉ để đảm bảo rằng câu trả lời nghe có vẻ đủ phù hợp và người nhận được câu trả lời sẽ không cảm thấy bị xúc phạm,3
Tôi cảm thấy buồn khi một người bạn của tôi qua đời và tôi cảm thấy rằng một cái gì đó đã biến mất khỏi tôi một cách không thể cứu vãn,0
Tôi chết sẽ Alex và Matt cảm thấy hối hận vì đã không đến thăm,0
